llave,oficina_segun_terminal,numero_caja,mes,jornada,region,zona,nombre,tx,tasa_servicio,t_ocup
2100002,0,1,201806,21,Bogota Sur,Teusaquillo,0000 - Oficina Principal,1523,30.1539521267436,0.483325124951034
2100002,0,2,201806,21,Bogota Sur,Teusaquillo,0000 - Oficina Principal,2480,30.1539521267436,0.787029750412714
2100002,0,3,201806,21,Bogota Sur,Teusaquillo,0000 - Oficina Principal,1804,30.1539521267436,0.572500673284087
2100022,2,1,201806,21,Bogota Sur,Calle 26,0002 - Centro ADM CAN,2601,30.5656468651393,0.814311316980422
2100022,2,2,201806,21,Bogota Sur,Calle 26,0002 - Centro ADM CAN,2435,30.5656468651393,0.762340660072021
2100022,2,3,201806,21,Bogota Sur,Calle 26,0002 - Centro ADM CAN,2253,30.5656468651393,0.705360783220642
2100042,4,1,201806,21,Bogota Norte,Chapinero,0004 - Calle 53 -Exito,2155,30.9940021810251,0.665354846687178
2100042,4,2,201806,21,Bogota Norte,Chapinero,0004 - Calle 53 -Exito,2785,30.9940021810251,0.907637321795617
2100042,4,3,201806,21,Bogota Norte,Chapinero,0004 - Calle 53 -Exito,2396,30.9940021810251,0.780861408625601
2100052,5,1,201806,21,Bogota Norte,Noroccidente,0005 - Suba,2179,30.8088109495295,0.676808808860141
2100052,5,2,201806,21,Bogota Norte,Noroccidente,0005 - Suba,2432,30.8088109495295,0.755391933523571
2100052,5,3,201806,21,Bogota Norte,Noroccidente,0005 - Suba,2403,30.8088109495295,0.74638438168468
2100062,6,1,201806,21,Bogota Norte,Santa Barbara,0006 - Cedritos,2258,30.4632097334878,0.709303310170869
2100062,6,2,201806,21,Bogota Norte,Santa Barbara,0006 - Cedritos,2196,30.4632097334878,0.689827311397355
2100062,6,3,201806,21,Bogota Norte,Santa Barbara,0006 - Cedritos,2450,30.4632097334878,0.812372529486614
2100072,7,1,201806,21,Bogota Norte,Carrera Septima,0007 - Antiguo Country,2641,30.5028908844876,0.828535477782528
2100072,7,2,201806,21,Bogota Norte,Carrera Septima,0007 - Antiguo Country,3095,30.5028908844876,0.970964522429732
2100072,7,3,201806,21,Bogota Norte,Carrera Septima,0007 - Antiguo Country,2393,30.5028908844876,0.750732827843086
2100082,8,1,201806,21,Bogota Norte,Carrera Septima,0008 - El Chico,1676,30.4323896606295,0.527013412052571
2100082,8,2,201806,21,Bogota Norte,Carrera Septima,0008 - El Chico,1905,30.4323896606295,0.599021807852116
2100082,8,3,201806,21,Bogota Norte,Carrera Septima,0008 - El Chico,2106,30.4323896606295,0.662225683641237
2100092,9,1,201806,21,Bogota Norte,Carrera Septima,0009 - Calle 100,1894,30.6067660967625,0.592169778949393
2100092,9,2,201806,21,Bogota Norte,Carrera Septima,0009 - Calle 100,1595,30.6067660967625,0.498685743096242
2100092,9,3,201806,21,Bogota Norte,Carrera Septima,0009 - Calle 100,2009,30.6067660967625,0.628125177354451
2100102,10,1,201806,21,Bogota Sur,Centro Oriental,0010 - Avenida Caracas,2040,30.0686483823288,0.649232078950086
2100102,10,2,201806,21,Bogota Sur,Centro Oriental,0010 - Avenida Caracas,2282,30.0686483823288,0.726248825570636
2100102,10,3,201806,21,Bogota Sur,Centro Oriental,0010 - Avenida Caracas,1767,30.0686483823288,0.562349550737648
2100112,11,1,201806,21,Central,Sabana,0011 - Bacata Funza,3165,30.6846421980726,0.78140955897406
2100112,11,2,201806,21,Central,Sabana,0011 - Bacata Funza,3501,30.6846421980726,0.864364886561828
2100112,11,3,201806,21,Central,Sabana,0011 - Bacata Funza,3088,30.6846421980726,0.871313100649748
2100122,12,1,201806,21,Bogota Norte,Calle 72,0012 - Pasadena,1873,30.4401558073654,0.588809239003294
2100122,12,2,201806,21,Bogota Norte,Calle 72,0012 - Pasadena,2047,30.4401558073654,0.643509082882938
2100122,12,3,201806,21,Bogota Norte,Calle 72,0012 - Pasadena,1728,30.4401558073654,0.573405259979716
2100132,13,1,201806,21,Oriente,Magdalena Medio,0013 - Galan,2599,30.2043204320432,0.651873429289468
2100132,13,2,201806,21,Oriente,Magdalena Medio,0013 - Galan,3416,30.2043204320432,0.979189637532159
2100132,13,3,201806,21,Oriente,Magdalena Medio,0013 - Galan,3984,30.2043204320432,1.09009636249854
2100142,14,1,201806,21,Bogota Norte,Calle 72,0014 - Los Heroes,1743,30.5580218704097,0.545828061386127
2100142,14,2,201806,21,Bogota Norte,Calle 72,0014 - Los Heroes,2212,30.5580218704097,0.774191278186229
2100142,14,3,201806,21,Bogota Norte,Calle 72,0014 - Los Heroes,2172,30.5580218704097,0.680171284756551
2100152,15,1,201806,21,Bogota Sur,Teusaquillo,0015 - Centro Comercial Calima Bogota,3019,30.0866078588613,0.760179154409924
2100152,15,2,201806,21,Bogota Sur,Teusaquillo,0015 - Centro Comercial Calima Bogota,3476,30.0866078588613,0.875250990635606
2100152,15,3,201806,21,Bogota Sur,Teusaquillo,0015 - Centro Comercial Calima Bogota,2579,30.0866078588613,0.677622145849571
2100152,15,4,201806,21,Bogota Sur,Teusaquillo,0015 - Centro Comercial Calima Bogota,3396,30.0866078588613,0.855107124337894
2100162,16,1,201806,21,Bogota Norte,Noroccidente,0016 - Cota,2180,30.4111275233875,0.543062781952121
2100162,16,2,201806,21,Bogota Norte,Noroccidente,0016 - Cota,3053,30.4111275233875,0.793603832453047
2100162,16,3,201806,21,Bogota Norte,Noroccidente,0016 - Cota,2450,30.4111275233875,0.636858627418921
2100162,16,4,201806,21,Bogota Norte,Noroccidente,0016 - Cota,2472,30.4111275233875,0.738963961643473
2100172,17,1,201806,21,Bogota Sur,Calle 26,0017 - CUAN,1642,30.5034677069788,0.515119094367497
2100172,17,2,201806,21,Bogota Sur,Calle 26,0017 - CUAN,1810,30.5034677069788,0.567823118638958
2100172,17,3,201806,21,Bogota Sur,Calle 26,0017 - CUAN,1162,30.5034677069788,0.364536167877607
2100182,18,1,201806,21,Bogota Sur,Zona Industrial,0018 - Zona Industrial Montevideo,2038,30.688398715622,0.635497228943715
2100182,18,2,201806,21,Bogota Sur,Zona Industrial,0018 - Zona Industrial Montevideo,2434,30.688398715622,0.758979516805202
2100182,18,3,201806,21,Bogota Sur,Zona Industrial,0018 - Zona Industrial Montevideo,2691,30.688398715622,0.839118274331471
2100192,19,1,201806,21,Bogota Sur,Sur Oriente,0019 - Barrio Restrepo,2533,30.5437663307204,0.793590226801249
2100192,19,2,201806,21,Bogota Sur,Sur Oriente,0019 - Barrio Restrepo,2782,30.5437663307204,0.871602057229007
2100192,19,3,201806,21,Bogota Sur,Sur Oriente,0019 - Barrio Restrepo,2843,30.5437663307204,0.890713389181189
2100192,19,4,201806,21,Bogota Sur,Sur Oriente,0019 - Barrio Restrepo,2558,30.5437663307204,0.801422739896405
2100202,20,1,201806,21,Bogota Sur,Zona Industrial,0020 - San Jose,1844,30.4919678714859,0.578707582558336
2100202,20,2,201806,21,Bogota Sur,Zona Industrial,0020 - San Jose,1669,30.4919678714859,0.52378685210947
2100202,20,3,201806,21,Bogota Sur,Zona Industrial,0020 - San Jose,1467,30.4919678714859,0.460392637534207
2100212,21,1,201806,21,Bogota Sur,Sur Oriente,0021 - Veinte de Julio,2316,30.9472568472823,0.716143583749769
2100212,21,2,201806,21,Bogota Sur,Sur Oriente,0021 - Veinte de Julio,3193,30.9472568472823,0.987325761188693
2100212,21,3,201806,21,Bogota Sur,Sur Oriente,0021 - Veinte de Julio,2929,30.9472568472823,0.9560090812526
2100212,21,4,201806,21,Bogota Sur,Sur Oriente,0021 - Veinte de Julio,3355,30.9472568472823,1.03741870616601
2100222,22,1,201806,21,Bogota Sur,Autopista Sur,0022 - Venecia,1933,30.6297628563816,0.603909594149813
2100222,22,2,201806,21,Bogota Sur,Autopista Sur,0022 - Venecia,2713,30.6297628563816,0.847597893910213
2100222,22,3,201806,21,Bogota Sur,Autopista Sur,0022 - Venecia,2860,30.6297628563816,0.893523765788135
2100232,23,1,201806,21,Bogota Sur,Calle 26,0023 - Modelia,2956,30.505782480315,0.927269489250645
2100232,23,2,201806,21,Bogota Sur,Calle 26,0023 - Modelia,2680,30.505782480315,0.840690876587188
2100232,23,3,201806,21,Bogota Sur,Calle 26,0023 - Modelia,2492,30.505782480315,0.781717038975848
2100242,24,1,201806,21,Bogota Norte,Occidental,"0024 - Centro Comercial Diver Plaza Alamos
",3187,30.6654884560427,0.787332620791232
2100242,24,2,201806,21,Bogota Norte,Occidental,"0024 - Centro Comercial Diver Plaza Alamos
",3532,30.6654884560427,0.872563168068601
2100242,24,3,201806,21,Bogota Norte,Occidental,"0024 - Centro Comercial Diver Plaza Alamos
",3416,30.6654884560427,0.84390594057824
2100242,24,4,201806,21,Bogota Norte,Occidental,"0024 - Centro Comercial Diver Plaza Alamos
",3162,30.6654884560427,0.986723992644544
2100252,25,1,201806,21,Bogota Sur,Occidente,0025 - Plaza de las Americas,2826,30.1350414042041,0.710438410285514
2100252,25,2,201806,21,Bogota Sur,Occidente,0025 - Plaza de las Americas,4158,30.1350414042041,1.04529473105703
2100252,25,3,201806,21,Bogota Sur,Occidente,0025 - Plaza de las Americas,3641,30.1350414042041,0.915324222168986
2100252,25,4,201806,21,Bogota Sur,Occidente,0025 - Plaza de las Americas,3504,30.1350414042041,0.880883294281826
2100262,26,1,201806,21,Bogota Sur,Sur Oriente,0026 - Santuario 20 de Julio,2196,30.7146617832208,0.541642416699245
2100262,26,2,201806,21,Bogota Sur,Sur Oriente,0026 - Santuario 20 de Julio,3187,30.7146617832208,0.857533225047438
2100262,26,3,201806,21,Bogota Sur,Sur Oriente,0026 - Santuario 20 de Julio,3354,30.7146617832208,0.90246828892661
2100272,27,1,201806,21,Bogota Sur,Occidente,0027 - Carvajal,2071,30.3853141559425,0.652228958913231
2100272,27,2,201806,21,Bogota Sur,Occidente,0027 - Carvajal,2167,30.3853141559425,0.762752376667551
2100272,27,3,201806,21,Bogota Sur,Occidente,0027 - Carvajal,2367,30.3853141559425,0.786863377037522
2100282,28,1,201806,21,Bogota Sur,Teusaquillo,0028 - Calle 13 Carrera 30,1956,30.6329914902902,0.61103086700544
2100282,28,2,201806,21,Bogota Sur,Teusaquillo,0028 - Calle 13 Carrera 30,1570,30.6329914902902,0.490449111042199
2100282,28,3,201806,21,Bogota Sur,Teusaquillo,0028 - Calle 13 Carrera 30,1057,30.6329914902902,0.369040445749737
2100302,30,1,201806,21,Bogota Norte,Noroccidente,0030 - Gaitana,3289,30.8529886914378,1.02011784094229
2100302,30,2,201806,21,Bogota Norte,Noroccidente,0030 - Gaitana,3708,30.8529886914378,1.15007508489328
2100302,30,3,201806,21,Bogota Norte,Noroccidente,0030 - Gaitana,3526,30.8529886914378,1.09362587630359
2100322,32,1,201806,21,Bogota Sur,Teusaquillo,0032 - Carrera 24 N° 26-01,2570,30.707252162342,0.800895544328999
2100322,32,2,201806,21,Bogota Sur,Teusaquillo,0032 - Carrera 24 N° 26-01,2199,30.707252162342,0.685279884038703
2100322,32,3,201806,21,Bogota Sur,Teusaquillo,0032 - Carrera 24 N° 26-01,2746,30.707252162342,0.855742865652696
2100332,33,1,201806,21,Bogota Sur,Centro Oriental,0033 - Andes,2160,30.4973240016468,0.677759676823253
2100332,33,2,201806,21,Bogota Sur,Centro Oriental,0033 - Andes,2383,30.4973240016468,0.74773208790269
2100332,33,3,201806,21,Bogota Sur,Centro Oriental,0033 - Andes,2744,30.4973240016468,0.861005811668058
2100342,34,1,201806,21,Bogota Sur,Centro Oriental,0034 - Parque Santander,2918,30.6207340631037,0.911912984141122
2100342,34,2,201806,21,Bogota Sur,Centro Oriental,0034 - Parque Santander,2573,30.6207340631037,0.804095993212853
2100342,34,3,201806,21,Bogota Sur,Centro Oriental,0034 - Parque Santander,2274,30.6207340631037,0.710654601075021
2100352,35,1,201806,21,Bogota Sur,Centro Oriental,0035 - Avenida 19,1769,30.9358903350872,0.611580461765408
2100352,35,2,201806,21,Bogota Sur,Centro Oriental,0035 - Avenida 19,2495,30.9358903350872,0.771776659003892
2100352,35,3,201806,21,Bogota Sur,Centro Oriental,0035 - Avenida 19,2958,30.9358903350872,0.914996135203812
2100362,36,1,201806,21,Bogota Sur,Centro Oriental,0036 - Carrera 10 Calle 17,2533,30.5990932642487,0.792155317820523
2100362,36,2,201806,21,Bogota Sur,Centro Oriental,0036 - Carrera 10 Calle 17,2881,30.5990932642487,0.900986762984969
2100362,36,3,201806,21,Bogota Sur,Centro Oriental,0036 - Carrera 10 Calle 17,2306,30.5990932642487,0.72116469123337
2100372,37,1,201806,21,Bogota Sur,Teusaquillo,0037 - Carrera 47,2080,30.7734668335419,0.646800905720533
2100372,37,2,201806,21,Bogota Sur,Teusaquillo,0037 - Carrera 47,2605,30.7734668335419,0.810055942020186
2100372,37,3,201806,21,Bogota Sur,Teusaquillo,0037 - Carrera 47,1707,30.7734668335419,0.530812089454303
2100382,38,1,201806,21,Bogota Norte,Calle 72,0038 - Avenida Chile,2124,30.5760243819844,0.664748254964451
2100382,38,2,201806,21,Bogota Norte,Calle 72,0038 - Avenida Chile,1702,30.5760243819844,0.632551467427036
2100382,38,3,201806,21,Bogota Norte,Calle 72,0038 - Avenida Chile,2080,30.5760243819844,0.650977575483078
2100392,39,1,201806,21,Bogota Norte,Carrera Septima,0039 - Parque El Virrey,2132,30.4301962254718,0.670449632477904
2100392,39,2,201806,21,Bogota Norte,Carrera Septima,0039 - Parque El Virrey,2422,30.4301962254718,0.761645877045724
2100392,39,3,201806,21,Bogota Norte,Carrera Septima,0039 - Parque El Virrey,1841,30.4301962254718,0.647049379054316
2100392,39,4,201806,21,Bogota Norte,Carrera Septima,0039 - Parque El Virrey,1606,30.4301962254718,0.50503851302041
2100402,40,1,201806,21,Bogota Norte,Chapinero,0040 - Chapinero,2523,30.745216367383,0.785277956133361
2100402,40,2,201806,21,Bogota Norte,Chapinero,0040 - Chapinero,2325,30.745216367383,0.723650910824441
2100402,40,3,201806,21,Bogota Norte,Chapinero,0040 - Chapinero,1946,30.745216367383,0.822005185155848
2100412,41,1,201806,21,Bogota Norte,Chapinero,0041 - Calle 54 N° 10-73,1815,30.7526445698166,0.564778128697214
2100412,41,2,201806,21,Bogota Norte,Chapinero,0041 - Calle 54 N° 10-73,1834,30.7526445698166,0.637830454467124
2100412,41,3,201806,21,Bogota Norte,Chapinero,0041 - Calle 54 N° 10-73,2023,30.7526445698166,0.629502013418437
2100432,43,1,201806,21,Bogota Sur,Teusaquillo,0043 - Universidad Javeriana,1354,30.880939524838,0.419577188984862
2100432,43,2,201806,21,Bogota Sur,Teusaquillo,0043 - Universidad Javeriana,1544,30.880939524838,0.568164531760521
2100432,43,3,201806,21,Bogota Sur,Teusaquillo,0043 - Universidad Javeriana,806,30.880939524838,0.365038352011941
2100442,44,1,201806,21,Bogota Norte,Noroccidente,0044 - Ilarco,2376,30.6836879432624,0.741007474307069
2100442,44,2,201806,21,Bogota Norte,Noroccidente,0044 - Ilarco,2417,30.6836879432624,0.753794219444523
2100442,44,3,201806,21,Bogota Norte,Noroccidente,0044 - Ilarco,2257,30.6836879432624,0.703894726225192
2100452,45,1,201806,21,Bogota Sur,Occidente,0045 - Central de Abastos,3046,29.5268771331058,0.781517038586002
2100452,45,2,201806,21,Bogota Sur,Occidente,0045 - Central de Abastos,2646,29.5268771331058,0.775872463783345
2100452,45,3,201806,21,Bogota Sur,Occidente,0045 - Central de Abastos,2666,29.5268771331058,0.820823804939047
2100452,45,4,201806,21,Bogota Sur,Occidente,0045 - Central de Abastos,3362,29.5268771331058,0.985821323975664
2100462,46,1,201806,21,Bogota Sur,Calle 26,0046 - Ciudad Salitre,1482,30.4813227189222,0.465262558078373
2100462,46,2,201806,21,Bogota Sur,Calle 26,0046 - Ciudad Salitre,2464,30.4813227189222,0.773553942715999
2100462,46,3,201806,21,Bogota Sur,Calle 26,0046 - Ciudad Salitre,2586,30.4813227189222,0.811854909035541
2100472,47,1,201806,21,Bogota Norte,Santa Barbara,0047 - Unicentro Bogota Entrada Principal,139,29.885109114249,0.0445085723322875
2100472,47,2,201806,21,Bogota Norte,Santa Barbara,0047 - Unicentro Bogota Entrada Principal,2293,29.885109114249,0.581266478057784
2100472,47,3,201806,21,Bogota Norte,Santa Barbara,0047 - Unicentro Bogota Entrada Principal,3036,29.885109114249,0.769614054680956
2100472,47,4,201806,21,Bogota Norte,Santa Barbara,0047 - Unicentro Bogota Entrada Principal,3194,29.885109114249,0.809666433020743
2100472,47,5,201806,21,Bogota Norte,Santa Barbara,0047 - Unicentro Bogota Entrada Principal,1252,29.885109114249,0.476065610899485
2100472,47,6,201806,21,Bogota Norte,Santa Barbara,0047 - Unicentro Bogota Entrada Principal,2550,29.885109114249,0.674519965436136
2100492,49,1,201806,21,Bogota Norte,Calle 72,0049 - El Castillo,2105,30.4907794999434,0.660643676554541
2100492,49,2,201806,21,Bogota Norte,Calle 72,0049 - El Castillo,2054,30.4907794999434,0.644637582728279
2100492,49,3,201806,21,Bogota Norte,Calle 72,0049 - El Castillo,2629,30.4907794999434,0.825098444494959
2100492,49,4,201806,21,Bogota Norte,Calle 72,0049 - El Castillo,2051,30.4907794999434,0.643696047797322
2100502,50,1,201806,21,Bogota Norte,Calle 72,0050 - El Nogal,1714,30.6405943827564,0.598276605641028
2100502,50,2,201806,21,Bogota Norte,Calle 72,0050 - El Nogal,2270,30.6405943827564,0.748330552693092
2100502,50,3,201806,21,Bogota Norte,Calle 72,0050 - El Nogal,2140,30.6405943827564,0.746973124896033
2100512,51,1,201806,21,Bogota Sur,Centro Oriental,0051 - Las Aguas,1539,30.7990566037736,0.478172851744696
2100512,51,2,201806,21,Bogota Sur,Centro Oriental,0051 - Las Aguas,1845,30.7990566037736,0.573248155600367
2100512,51,3,201806,21,Bogota Sur,Centro Oriental,0051 - Las Aguas,1916,30.7990566037736,0.595308111723741
2100522,52,1,201806,21,Bogota Sur,No hay informacion,0052 - Central San Martin,1792,30.7738805970149,0.557236364935889
2100522,52,2,201806,21,Bogota Sur,No hay informacion,0052 - Central San Martin,2246,30.7738805970149,0.698411202927459
2100522,52,3,201806,21,Bogota Sur,No hay informacion,0052 - Central San Martin,2662,30.7738805970149,0.827769644787576
2100542,54,1,201806,21,Bogota Sur,Teusaquillo,0054 - Paloquemao,2342,30.1371723972109,0.743649170473029
2100542,54,2,201806,21,Bogota Sur,Teusaquillo,0054 - Paloquemao,3206,30.1371723972109,1.0179928439524
2100542,54,3,201806,21,Bogota Sur,Teusaquillo,0054 - Paloquemao,2770,30.1371723972109,0.879550897613275
2100552,55,1,201806,21,Bogota Sur,Zona Industrial,0055 - Calle 9a. Carrera 34,2110,30.1885803343723,0.668841904328272
2100552,55,2,201806,21,Bogota Sur,Zona Industrial,0055 - Calle 9a. Carrera 34,2467,30.1885803343723,0.782006150700401
2100552,55,3,201806,21,Bogota Sur,Zona Industrial,0055 - Calle 9a. Carrera 34,2481,30.1885803343723,0.786443964283622
2100562,56,1,201806,21,Bogota Norte,Chapinero,0056 - Carrera 11 N° 68-09,2060,30.6405314371258,0.643360860131879
2100562,56,2,201806,21,Bogota Norte,Chapinero,0056 - Carrera 11 N° 68-09,1820,30.6405314371258,0.63527751408796
2100562,56,3,201806,21,Bogota Norte,Chapinero,0056 - Carrera 11 N° 68-09,1464,30.6405314371258,0.511014439903722
2100572,57,1,201806,21,Bogota Sur,Zona Industrial,0057 - Ricaurte,2304,30.2281214276642,0.729381974421156
2100572,57,2,201806,21,Bogota Sur,Zona Industrial,0057 - Ricaurte,2512,30.2281214276642,0.795228958223066
2100572,57,3,201806,21,Bogota Sur,Zona Industrial,0057 - Ricaurte,3057,30.2281214276642,0.967760718665571
2100582,58,1,201806,21,Bogota Sur,Centro Oriental,0058 - San Agustin,1882,30.3875765529309,0.592662246251204
2100582,58,2,201806,21,Bogota Sur,Centro Oriental,0058 - San Agustin,1766,30.3875765529309,0.556132586014679
2100582,58,3,201806,21,Bogota Sur,Centro Oriental,0058 - San Agustin,2067,30.3875765529309,0.727499668594847
2100592,59,1,201806,21,Central,Cundinamarca,0059 - Mesitas del Colegio,2269,30.5992382564537,0.74901184555985
2100592,59,2,201806,21,Central,Cundinamarca,0059 - Mesitas del Colegio,2457,30.5992382564537,0.858781994704325
2100602,60,1,201806,21,Bogota Sur,Occidente,0060 - Kennedy,3189,30.7486083277666,0.992459433812033
2100602,60,2,201806,21,Bogota Sur,Occidente,0060 - Kennedy,2710,30.7486083277666,0.843388230050364
2100602,60,3,201806,21,Bogota Sur,Occidente,0060 - Kennedy,3083,30.7486083277666,0.959470816695672
2100612,61,1,201806,21,Bogota Sur,Autopista Sur,0061 - Centro IND. Cazuca,1521,30.5549803641557,0.476355204617301
2100612,61,2,201806,21,Bogota Sur,Autopista Sur,0061 - Centro IND. Cazuca,2298,30.5549803641557,0.719700368317263
2100612,61,3,201806,21,Bogota Sur,Autopista Sur,0061 - Centro IND. Cazuca,1783,30.5549803641557,0.558409815800557
2100622,62,1,201806,21,Bogota Sur,Calle 26,0062 - San Diego,1784,30.6435608726249,0.557107915946515
2100622,62,2,201806,21,Bogota Sur,Calle 26,0062 - San Diego,2097,30.6435608726249,0.654851625414709
2100622,62,3,201806,21,Bogota Sur,Calle 26,0062 - San Diego,1803,30.6435608726249,0.563041240163434
2100634,63,1,201806,21,Bogota Norte,No hay informacion,0063 - Oficina de Recaudos y Pagos Centro Comercial Iserra 100,2313,30.7255917159763,0.720375753751784
2100634,63,2,201806,21,Bogota Norte,No hay informacion,0063 - Oficina de Recaudos y Pagos Centro Comercial Iserra 100,2450,30.7255917159763,0.763043924207467
2100634,63,3,201806,21,Bogota Norte,No hay informacion,0063 - Oficina de Recaudos y Pagos Centro Comercial Iserra 100,1997,30.7255917159763,0.621958659854005
2100642,64,1,201806,21,Central,Cundinamarca,0064 - Centro Comercial El Portico,2572,30.5434818346211,0.637938025217622
2100642,64,2,201806,21,Central,Cundinamarca,0064 - Centro Comercial El Portico,3511,30.5434818346211,0.870839971438208
2100652,65,1,201806,21,Central,Sabana,0065 - Los Comuneros Zipaquira,2937,30.6938629450707,0.915663929567664
2100652,65,2,201806,21,Central,Sabana,0065 - Los Comuneros Zipaquira,2652,30.6938629450707,0.826809922101956
2100662,66,1,201806,21,Central,Sabana,0066 - Pacho,3405,31.0500758725341,1.0493929931501
2100662,66,2,201806,21,Central,Sabana,0066 - Pacho,3185,31.0500758725341,0.981590802696935
2100672,67,1,201806,21,Central,Cundinamarca,0067 - Tabio,2371,30.8342609771181,0.776717008631006
2100672,67,2,201806,21,Central,Cundinamarca,0067 - Tabio,2480,30.8342609771181,0.86021403888377
2100682,68,1,201806,21,Bogota Sur,Centro Oriental,0068 - San Victorino,1403,30.1065270935961,0.445944405305717
2100682,68,2,201806,21,Bogota Sur,Centro Oriental,0068 - San Victorino,1691,30.1065270935961,0.537485380878096
2100682,68,3,201806,21,Bogota Sur,Centro Oriental,0068 - San Victorino,1778,30.1065270935961,0.565138383915585
2100692,69,1,201806,21,Oriente,Boyaca y Norte de Cundinamarca,0069 - Plaza Neira Ubate,2954,30.1594936708861,0.93728173596694
2100692,69,2,201806,21,Oriente,Boyaca y Norte de Cundinamarca,0069 - Plaza Neira Ubate,2971,30.1594936708861,0.942675706688484
2100702,70,1,201806,21,Costa,Magdalena - Guajira,0070 - Parque Bolivar - Santa Marta,2134,30.6223420185684,0.703915969016509
2100702,70,2,201806,21,Costa,Magdalena - Guajira,0070 - Parque Bolivar - Santa Marta,1205,30.6223420185684,0.447163114104032
2100712,71,1,201806,21,Bogota Sur,Centro Oriental,0071 - Avenida 6a. Carrera 22,2353,30.2559302657902,0.744209357097259
2100712,71,2,201806,21,Bogota Sur,Centro Oriental,0071 - Avenida 6a. Carrera 22,2475,30.2559302657902,0.78279564760549
2100712,71,3,201806,21,Bogota Sur,Centro Oriental,0071 - Avenida 6a. Carrera 22,2170,30.2559302657902,0.686329921334914
2100722,72,1,201806,21,Bogota Norte,Chapinero,0072 - El Lago,2297,30.52513502285,0.720090549233118
2100722,72,2,201806,21,Bogota Norte,Chapinero,0072 - El Lago,2464,30.52513502285,0.815357208748068
2100722,72,3,201806,21,Bogota Norte,Chapinero,0072 - El Lago,2460,30.52513502285,0.771189704446439
2100732,73,1,201806,21,Bogota Sur,Occidente,0073 - Techo Bavaria,3170,30.5432562507337,0.99317924652963
2100732,73,2,201806,21,Bogota Sur,Occidente,0073 - Techo Bavaria,2397,30.5432562507337,0.750993897139282
2100732,73,3,201806,21,Bogota Sur,Occidente,0073 - Techo Bavaria,2952,30.5432562507337,0.924878591720968
2100742,74,1,201806,21,Costa,No hay informacion,0074 - Avenida Las Penitas,2132,30.4396124380352,0.670242235085271
2100742,74,2,201806,21,Costa,No hay informacion,0074 - Avenida Las Penitas,1941,30.4396124380352,0.724609034583422
2100742,74,3,201806,21,Costa,No hay informacion,0074 - Avenida Las Penitas,365,30.4396124380352,0.726724499736766
2100752,75,1,201806,21,Bogota Norte,Chapinero,0075 - Galerias,2336,30.1812985825332,0.740659548644568
2100752,75,2,201806,21,Bogota Norte,Chapinero,0075 - Galerias,2301,30.1812985825332,0.990120315777637
2100752,75,3,201806,21,Bogota Norte,Chapinero,0075 - Galerias,2078,30.1812985825332,0.695460433304434
2100752,75,4,201806,21,Bogota Norte,Chapinero,0075 - Galerias,2033,30.1812985825332,0.680399933064443
2100762,76,1,201806,21,Oriente,Boyaca,0076 - Centro Comercial Centro Norte,2317,30.4864208434533,0.727282776737928
2100762,76,2,201806,21,Oriente,Boyaca,0076 - Centro Comercial Centro Norte,2212,30.4864208434533,0.694324342746783
2100772,77,1,201806,21,Bogota Sur,Teusaquillo,0077 - Santa Teresita,2147,30.3971207865169,0.675901335845197
2100772,77,2,201806,21,Bogota Sur,Teusaquillo,0077 - Santa Teresita,1943,30.3971207865169,0.611679690520362
2100772,77,3,201806,21,Bogota Sur,Teusaquillo,0077 - Santa Teresita,1606,30.3971207865169,0.50558805093963
2100782,78,1,201806,21,Bogota Norte,Calle 72,0078 - Metropolis,3069,30.3938074504112,0.966263312043001
2100782,78,2,201806,21,Bogota Norte,Calle 72,0078 - Metropolis,2199,30.3938074504112,0.692347026126608
2100782,78,3,201806,21,Bogota Norte,Calle 72,0078 - Metropolis,3000,30.3938074504112,0.94453891695308
2100792,79,1,201806,21,Bogota Norte,Occidental,0079 - La Clarita,1719,30.4815800532287,0.539662338265428
2100792,79,2,201806,21,Bogota Norte,Occidental,0079 - La Clarita,2996,30.4815800532287,0.940563330682502
2100792,79,3,201806,21,Bogota Norte,Occidental,0079 - La Clarita,2424,30.4815800532287,0.760989824290516
2100802,80,1,201806,21,Bogota Norte,Santa Barbara,0080 - Santa Barbara,1608,30.4823977164605,0.504801490740446
2100802,80,2,201806,21,Bogota Norte,Santa Barbara,0080 - Santa Barbara,1717,30.4823977164605,0.539019999752081
2100802,80,3,201806,21,Bogota Norte,Santa Barbara,0080 - Santa Barbara,1930,30.4823977164605,0.60588736139867
2100812,81,1,201806,21,Bogota Norte,Chapinero,0081 - Siete de Agosto,2207,30.4614191146049,0.693323483893581
2100812,81,2,201806,21,Bogota Norte,Chapinero,0081 - Siete de Agosto,2951,30.4614191146049,0.92704920750791
2100812,81,3,201806,21,Bogota Norte,Chapinero,0081 - Siete de Agosto,2232,30.4614191146049,0.701177170842987
2100812,81,4,201806,21,Bogota Norte,Chapinero,0081 - Siete de Agosto,2278,30.4614191146049,0.715627954829895
2100822,82,1,201806,21,Bogota Norte,Occidental,0082 - Avenida Calle 68,2820,30.4736001345216,0.885541774319078
2100822,82,2,201806,21,Bogota Norte,Occidental,0082 - Avenida Calle 68,3183,30.4736001345216,1.05506126645971
2100822,82,3,201806,21,Bogota Norte,Occidental,0082 - Avenida Calle 68,2966,30.4736001345216,0.931388972563966
